,Time,Surface,Age,Sex,Vehicle
1057,2,0,62,1,0
1058,1,0,41,1,3
1059,0,0,28,1,1
1060,0,0,17,1,0
1061,1,0,46,0,0
1062,1,0,66,0,0
1063,2,0,42,0,0
1064,2,0,47,0,0
1065,2,0,20,1,0
1066,1,0,38,1,3
1067,1,0,21,1,0
1068,2,0,8,1,3
1069,2,0,25,1,3
1070,2,0,36,0,0
1071,2,0,56,0,0
1072,0,0,45,1,10
1073,0,0,36,1,0
1074,2,0,23,0,0
1075,2,0,38,1,0
1076,2,0,55,1,4
1077,2,0,36,1,10
1078,1,1,20,1,0
1079,2,0,11,1,3
1080,0,1,38,1,8
1081,1,0,53,1,0
1082,2,1,36,1,8
1083,2,1,19,1,6
1084,1,0,16,1,2
1085,2,0,29,1,0
1086,2,0,18,1,3
1087,1,0,35,1,3
1088,2,0,23,0,0
1089,0,0,29,0,0
1090,2,0,54,0,0
1091,2,1,27,1,10
1092,2,1,27,1,0
1093,2,0,57,1,0
1094,2,0,30,0,0
1095,2,1,17,1,2
1096,2,0,33,1,0
1097,2,0,37,1,0
1098,2,0,27,1,0
1099,2,0,15,1,3
1100,2,0,52,1,0
1101,2,0,24,1,0
1102,2,0,22,1,0
1103,2,0,27,1,0
1104,1,0,54,1,0
1105,1,1,26,1,0
1106,1,1,57,0,0
1107,1,1,21,1,0
1108,2,0,30,1,0
1109,2,0,40,1,7
1110,1,0,47,1,0
1111,1,0,44,0,0
1112,0,0,55,1,0
1113,0,0,20,1,0
1114,1,1,49,1,0
1115,2,1,24,1,6
1116,1,0,27,0,0
1117,2,0,68,1,0
1118,1,0,32,1,6
1119,2,0,21,0,0
1120,2,0,23,1,0
1121,1,0,48,1,0
1122,1,0,60,1,8
1123,0,1,40,1,7
1124,2,0,21,1,0
1125,0,1,32,1,7
1126,2,0,31,1,0
1127,1,0,24,1,0
1128,2,0,22,0,0
1129,0,0,38,1,0
1130,1,0,48,0,0
1131,1,0,32,0,0
1132,1,0,45,0,0
1133,1,0,34,1,0
1134,2,0,18,0,0
1135,2,1,24,1,0
1136,2,1,19,0,0
1137,2,0,22,1,3
1138,2,0,32,1,3
1139,2,0,37,0,0
1140,2,0,22,1,0
1141,2,1,32,1,3
1142,1,0,43,0,0
1143,2,1,37,1,7
1144,2,1,29,1,3
