1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
Unclassified,24-Jan-09,19,Driver,Slight,428502,434530,Daylight: street lights present,3,94709,Dry,Male,1300,Car,Fine without high winds
A,25-Jan-09,33,Driver,Slight,420347,440465,Darkness: street lights present and lit,2,69409,Dry,Male,1715,Motorcycle over 500cc,Fine without high winds
B,26-Jan-09,45,Passenger,Slight,428458,432960,Daylight: street lights present,1,56609,Dry,Male,1600,Bus or coach (17 or more passenger seats),Unknown
Unclassified,26-Jan-09,34,Driver,Slight,420142,446596,Daylight: street lights present,2,69109,Wet / Damp,Female,845,Car,Fine without high winds
A,26-Jan-09,4,Passenger,Slight,427122,437370,Daylight: street lights present,2,95009,Dry,Male,1510,Car,Fine without high winds
A,26-Jan-09,3,Passenger,Slight,427122,437370,Daylight: street lights present,2,95009,Dry,Male,1510,Car,Fine without high winds
Unclassified,27-Jan-09,42,Driver,Slight,425125,432463,Daylight: street lights present,1,66909,Wet / Damp,Male,830,Motorcycle over 50cc and up to 125cc,Unknown
Unclassified,27-Jan-09,25,Passenger,Slight,431076,431126,Daylight: street lights present,1,68809,Wet / Damp,Female,925,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,27-Jan-09,50,Driver,Slight,428587,440798,Darkness: no street lighting,3,69509,Dry,Female,1755,Car,Fine without high winds
Unclassified,27-Jan-09,42,Driver,Serious,428587,440798,Darkness: no street lighting,3,69509,Dry,Female,1755,Car,Fine without high winds
Unclassified,27-Jan-09,39,Driver,Serious,428587,440798,Darkness: no street lighting,3,69509,Dry,Male,1755,Car,Fine without high winds
Unclassified,27-Jan-09,1,Passenger,Slight,428587,440798,Darkness: no street lighting,3,69509,Dry,Male,1755,Car,Fine without high winds
Unclassified,27-Jan-09,36,Driver,Slight,421881,442830,Daylight: street lights present,2,70809,Frost / Ice,Female,757,Car,Fine without high winds
Unclassified,27-Jan-09,50,Driver,Slight,421881,442830,Daylight: street lights present,2,70809,Frost / Ice,Male,757,Car,Fine without high winds
