Latitude,Longitude
53.7212009538,-1.5241371441
53.7977589354,-1.5890846133
53.8346551871,-1.651798771
53.8130257335,-1.533911652
53.8372061323,-1.6075571104
53.8212950906,-1.5777352059
53.7987562839,-1.5279210088
53.8212732639,-1.6056704028
53.8088622963,-1.5900087423
53.8102944461,-1.5227495733
53.8102944461,-1.5227495733
53.8836816891,-1.3587700733
53.7549245784,-1.4955770782
53.7549245784,-1.4955770782
53.7860125616,-1.3923909255
53.7860125616,-1.3923909255
53.777667456,-1.5554111327
53.8030807965,-1.5328375539
53.9327944771,-1.3833010514
53.8073139717,-1.4481171361
53.7771695971,-1.5448853556
53.820365121,-1.5422607122
53.7336981007,-1.5779157366
53.7336981007,-1.5779157366
53.7984120567,-1.5603386014
53.7984120567,-1.5603386014
53.820528464,-1.5769834063
53.8182358365,-1.5150192015
53.8182358365,-1.5150192015
53.8182358365,-1.5150192015
53.8182358365,-1.5150192015
53.8182358365,-1.5150192015
53.7966112721,-1.5310117338
53.8023266612,-1.5330585007
53.8020953047,-1.5647640128
53.8020953047,-1.5647640128
53.8020953047,-1.5647640128
53.7936577346,-1.431992551
53.7741721296,-1.5460861087
53.7957058365,-1.5456412293
53.7996065235,-1.5270005139
53.7996065235,-1.5270005139
53.7996065235,-1.5270005139
53.9183013795,-1.405576518
53.8660994276,-1.4750201242
53.8229919151,-1.5746495858
53.7496916973,-1.6337579189
53.7496916973,-1.6337579189
53.7496916973,-1.6337579189
53.7496916973,-1.6337579189
53.9074688536,-1.6923224863
53.8130325414,-1.5644381587
53.8130325414,-1.5644381587
53.8062389826,-1.5748494419
53.8013421301,-1.4472997082
53.8013421301,-1.4472997082
53.817765973,-1.5996428825
53.8122944598,-1.5691234256
53.8122944598,-1.5691234256
53.8086660067,-1.5624181314
53.8086660067,-1.5624181314
53.7832925736,-1.5430738279
53.7967914912,-1.5404222509
53.7964671866,-1.5378905047
53.7964671866,-1.5378905047
53.9256895307,-1.385933646
53.9256895307,-1.385933646
53.9256895307,-1.385933646
53.9256895307,-1.385933646
53.8283827826,-1.5470958639
53.8283827826,-1.5470958639
53.8283827826,-1.5470958639
53.8283827826,-1.5470958639
53.7992543441,-1.6287414594
53.7861846167,-1.5923849476
53.7170098966,-1.5710973158
53.8329438219,-1.4962512248
53.7927322593,-1.428270743
53.7967462385,-1.4685231648
53.7995537925,-1.5507009741
53.8306946411,-1.5772001157
53.8009604572,-1.600258362
53.797740071,-1.6273581
53.797740071,-1.6273581
53.7613856616,-1.571494994
53.8272175943,-1.6627989487
53.8064186555,-1.5360044977
53.8064186555,-1.5360044977
53.8064186555,-1.5360044977
53.8064186555,-1.5360044977
53.8064186555,-1.5360044977
53.7990884564,-1.5076944088
53.7990884564,-1.5076944088
53.7990884564,-1.5076944088
53.7990884564,-1.5076944088
53.8416705951,-1.5576973449
53.7910577224,-1.5902126226
53.8032974538,-1.5400626567
53.7498910227,-1.6555324349
53.8086812029,-1.4662310862
53.8081117019,-1.5276337405
53.7903594513,-1.4775595954
53.8083882021,-1.656602366
53.8083882021,-1.656602366
53.8132182778,-1.6305469555
53.8123912551,-1.5586585124
53.8123912551,-1.5586585124
53.8123912551,-1.5586585124
53.8123912551,-1.5586585124
53.8123912551,-1.5586585124
53.8938673613,-1.6277670391
53.8938673613,-1.6277670391
53.7334751773,-1.5416736213
53.7334751773,-1.5416736213
53.7327778216,-1.5643733413
53.7862968207,-1.5274081679
53.7802562525,-1.6354496716
53.8080088245,-1.5475887035
53.7975163993,-1.5611981412
53.7975163993,-1.5611981412
53.8203619378,-1.5207213043
53.8146551742,-1.5276817113
53.877452501,-1.7154498606
53.7835355235,-1.5624366567
53.8107020513,-1.5563678968
53.8198327397,-1.6737340524
53.8265636805,-1.4514496758
53.8265636805,-1.4514496758
53.8265636805,-1.4514496758
53.8265636805,-1.4514496758
53.8265636805,-1.4514496758
53.7953917969,-1.5410599643
53.8970335055,-1.6227779324
53.7917173223,-1.5833905437
53.7917173223,-1.5833905437
53.8014163198,-1.5634197396
53.8193669425,-1.6743148716
53.8039425262,-1.5348626469
53.8039425262,-1.5348626469
53.7896816203,-1.5241977497
53.7896816203,-1.5241977497
53.7375157918,-1.6118361129
53.9055429291,-1.6549847267
53.9055429291,-1.6549847267
53.8061123708,-1.5475939241
53.8435294517,-1.5335123219
53.8528184416,-1.3457424479
53.8156928132,-1.4912787831
53.8008898663,-1.5403774646
53.8008898663,-1.5403774646
53.8429852323,-1.5253721302
53.8230670825,-1.6634854585
53.8403238799,-1.4612697476
53.7744188821,-1.3750935703
